City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,port saint john's,-31.6229,29.5448,22.42,90,74,3.28,ZA,1704826784
324,ketchikan,55.3422,-131.6461,1.3,69,0,5.14,US,1704826633
325,lihue,21.9789,-159.3672,21.77,81,20,3.6,US,1704826525
326,novosergiyevka,52.0934,53.6528,-14.85,96,100,2.98,RU,1704826784
327,beloyarskiy,63.7119,66.6722,-21.67,98,100,1.79,RU,1704826784
328,belzyce,51.1741,22.2803,-9.45,50,4,2.08,PL,1704826784
329,fada,9.5667,8.3,22.77,16,8,0.77,NG,1704826785
330,nchelenge,-9.3451,28.734,22.08,84,100,1.38,ZM,1704826785
331,bazarnyye mataki,54.8833,49.9333,-16.66,98,100,2.68,RU,1704826785
332,vila velha,-20.3297,-40.2925,29.97,74,40,6.17,BR,1704826785
333,malango,-2.9627,119.9001,20.06,96,100,1.17,ID,1704826785
334,kolonia town,6.964,158.206,28.37,67,100,11.94,FM,1704826785
335,winters,38.5249,-121.9708,12.71,92,100,5.66,US,1704826785
336,revda,56.801,59.9303,-20.53,95,100,2.69,RU,1704826786
337,puerto leguizamo,-0.1934,-74.7819,27.34,76,92,0.53,CO,1704826786
338,nova sintra,14.8667,-24.7167,21.5,69,96,4.86,CV,1704826786
339,miri,4.4148,114.0089,26.08,100,40,1.03,MY,1704826558
340,bure,10.7,37.0667,18.14,39,100,3.32,ET,1704826786
341,usogorsk,63.4106,48.6872,-31.85,100,100,1.45,RU,1704826786
342,callao,-12.0667,-77.15,26.16,65,0,6.69,PE,1704826557
343,kotido,2.9806,34.1331,27.85,30,94,5.64,UG,1704826787
344,kilosa,-6.8333,36.9833,22.28,94,82,0.88,TZ,1704826787
345,basco,20.4487,121.9702,24.17,81,98,8.54,PH,1704826787
346,saldanha,-33.0117,17.9442,20.03,88,100,10.06,ZA,1704826787
347,sinop,41.7711,34.8709,2.84,97,100,3.68,TR,1704826787
348,iquique,-20.2208,-70.1431,23.02,65,30,2.66,CL,1704826438
349,aykhal,66.0,111.5,-27.48,97,100,2.4,RU,1704826788
350,hobyo,5.3505,48.5268,25.37,79,4,10.79,SO,1704826788
351,victoria de durango,24.0333,-104.6667,20.04,13,31,0.89,MX,1704826788
352,mutoko,-17.397,32.2268,19.68,89,99,2.59,ZW,1704826788
353,westport,41.1415,-73.3579,6.68,84,100,5.36,US,1704826788
354,cortez,37.3489,-108.5859,-0.6,54,93,2.97,US,1704826788
355,perbaungan,3.5679,98.956,26.06,94,100,2.62,ID,1704826789
356,melenki,55.3343,41.6295,-11.83,96,100,2.07,RU,1704826789
357,hanzhong,33.0728,107.0303,6.81,57,5,0.36,CN,1704826789
358,susuman,62.7833,148.1667,-38.9,99,99,0.45,RU,1704826789
359,usinsk,65.9939,57.5281,-31.07,100,100,0.89,RU,1704826789
360,viedma,-40.8135,-62.9967,22.73,22,0,8.02,AR,1704826790
